,Household median gross income (Euro) by Electoral Division and Year,
,,
528,"063 Ballyvool, Co. Kilkenny",58177
219,"003 Bohernabreena, South Dublin",58160
1055,"106 Woodland, Co. Westmeath",58152
1560,"075 Ballincollig, Co. Cork",58130
1638,"153 Castlemagner, Co. Cork",58126
535,"070 Ennisnag, Co. Kilkenny",58071
220,"004 Clondalkin-Ballymount, South Dublin",58067
645,"068 Nealstown, Co. Laois",58066
1697,"212 Cill na Martra, Co. Cork",58063
851,"079 Grennanstown, Co. Meath",58062
1452,"040 Knockrea A, Cork City",58029
308,"001 Ballinteer-Broadford, Dún Laoghaire-Rathdown",57994
555,"090 Baunmore, Co. Kilkenny",57973
635,"058 Jamestown, Co. Laois",57969
2934,"022 Thomastown, Co. Roscommon",57938
302,"037 Swords-Glasmore, Fingal",57926
2595,"123 Kiltullagh, Co. Galway",57865
823,"051 Bective, Co. Meath",57858
1706,"221 Ardskeagh, Co. Cork",57850
2674,"203 Killeen, Co. Galway",57833
2259,"113 Nodstown, South Tipperary",57804
2125,"114 Croagh, Co. Limerick",57790
2520,"048 Baile Chláir, Co. Galway",57775
2174,"027 Ballina, North Tipperary",57747
1293,"034 Kilcloher, Co. Clare",57746
2129,"118 Iveruss, Co. Limerick",57743
325,"018 Cabinteely-Granitefield, Dún Laoghaire-Rathdown",57737
2443,"084 Woodstown, Co. Waterford",57711
277,"012 Blanchardstown-Delwood, Fingal",57708
2382,"023 Carriglea, Co. Waterford",57696
299,"034 Skerries, Fingal",57676
227,"011 Edmondstown, South Dublin",57632
1503,"017 Bengour, Co. Cork",57570
1241,"062 Oldtown, Co. Wicklow",57567
1704,"219 Na hUláin, Co. Cork",57546
2194,"048 Nenagh Rural, North Tipperary",57496
2931,"019 Rockhill, Co. Roscommon",57495
846,"074 Castlerickard, Co. Meath",57482
505,"040 Ballinamara, Co. Kilkenny",57463
1368,"109 Cloghera, Co. Clare",57457
1583,"098 Monkstown Rural, Co. Cork",57444
494,"029 Kilmacar, Co. Kilkenny",57438
642,"065 Mountmellick Rural, Co. Laois",57406
1399,"142 Dangan, Co. Clare",57390
1372,"113 Killeely, Co. Clare",57353
1572,"087 Dripsey, Co. Cork",57313
1414,"002 Ballinlough B, Cork City",57289
234,"018 Newcastle, South Dublin",57273
1481,"069 Tramore B, Cork City",57262
172,"118 Mansion House B, Dublin City",57247
532,"067 Castlegannon, Co. Kilkenny",57243
202,"148 Terenure A, Dublin City",57234
1657,"172 Roskeen, Co. Cork",57210
1707,"222 Ballyclogh, Co. Cork",57128
653,"076 Shaen, Co. Laois",57115
2438,"079 Newcastle, Co. Waterford",57068
148,"094 Chapelizod, Dublin City",57021
1749,"264 Templenacarriga, Co. Cork",56998
1675,"190 Kinure, Co. Cork",56994
2400,"041 Dunhill, Co. Waterford",56973
819,"047 St. Mary's (Part Rural), Co. Meath",56955
2064,"052 Ballysimon, Co. Limerick",56945
232,"016 Lucan Heights, South Dublin",56903
972,"022 Noughaval, Co. Westmeath",56900
3062,"041 Calry, Co. Sligo",56889
2953,"042 Killukin, Co. Roscommon",56871
1101,"046 Ballynestragh, Co. Wexford",56855
771,"042 Termonfeckin, Co. Louth",56846
620,"042 Ballycarroll, Co. Laois",56815
2914,"002 Ballydangan, Co. Roscommon",56786
1884,"076 Flesk, Co. Kerry",56763
113,"059 Grange A, Dublin City",56740
509,"044 Coolcraheen, Co. Kilkenny",56732
73,"019 Ballymun E, Dublin City",56725
632,"055 Emo, Co. Laois",56713
2513,"041 Aughrim, Co. Galway",56682
1674,"189 Kinsale Rural, Co. Cork",56658
1502,"016 Baurleigh, Co. Cork",56657
2532,"060 Oranmore, Co. Galway",56625
1735,"250 Castlemartyr, Co. Cork",56613
2912,"154 Westport Rural, Co. Mayo",56585
853,"081 Innfield, Co. Meath",56562
1296,"037 Kilnamona, Co. Clare",56553
412,"036 Donadea, Co. Kildare",56533
533,"068 Coolhill, Co. Kilkenny",56523
91,"037 Clontarf East A, Dublin City",56483
425,"049 Killinthomas, Co. Kildare",56475
2929,"017 Lecarrow, Co. Roscommon",56463
726,"052 Mountdavis, Co. Longford",56448
825,"053 Domhnach Phádraig, Co. Meath",56432
1208,"029 Tober, Co. Wicklow",56400
2531,"059 Maigh Cuilinn, Co. Galway",56387
1641,"156 Clonmeen, Co. Cork",56369
1873,"065 Brewsterfield, Co. Kerry",56367
2576,"104 Bullaun, Co. Galway",56315
163,"109 Kilmainham B, Dublin City",56245
2383,"024 Clonea, Co. Waterford",56241
1734,"249 Carrigtohill, Co. Cork",56231
954,"004 Auburn, Co. Westmeath",56226
524,"059 Tiscoffin, Co. Kilkenny",56206
139,"085 Raheny-Foxfield, Dublin City",56204
83,"029 Botanic C, Dublin City",56164
329,"022 Churchtown-Castle, Dún Laoghaire-Rathdown",56114
608,"030 Barrowhouse, Co. Laois",56084
131,"077 North Dock B, Dublin City",56062
2922,"010 Crannagh, Co. Roscommon",56061
167,"113 Kimmage C, Dublin City",56043
2842,"083 Turlough, Co. Mayo",56021
342,"035 Dalkey Hill, Dún Laoghaire-Rathdown",55983
1398,"141 Clooney, Co. Clare",55979
438,"062 Clane, Co. Kildare",55977
3009,"099 Lackan, Co. Roscommon",55973
2024,"012 Crecora, Co. Limerick",55959
2258,"112 Magorban, South Tipperary",55948
1141,"086 Rochestown, Co. Wexford",55944
76,"022 Beaumont B, Dublin City",55941
751,"022 Castlering, Co. Louth",55929
103,"049 Drumcondra South C, Dublin City",55909
517,"052 Odagh, Co. Kilkenny",55902
844,"072 Ballyconnell, Co. Meath",55876
2335,"014 Farranshoneen, Waterford City",55863
480,"015 Tullaghanbrogue, Co. Kilkenny",55843
2447,"088 Glenwilliam, Co. Waterford",55817
1624,"139 Killathy, Co. Cork",55809
2073,"061 Clonkeen, Co. Limerick",55789
2293,"148 Kilvemnon, South Tipperary",55756
2210,"064 Drom, North Tipperary",55740
1003,"053 Ardnaglew, Co. Westmeath",55733
2653,"182 Ballinderry, Co. Galway",55728
27,"027 Johnstown, Co. Carlow",55718
506,"041 Ballybeagh, Co. Kilkenny",55674
2021,"009 Castletown, Co. Limerick",55657
1025,"075 Heathstown, Co. Westmeath",55652
1664,"179 Ballyfeard, Co. Cork",55652
2593,"121 Kilreekill, Co. Galway",55640
3234,"044 Crownarad, Co. Donegal",55625
2178,"031 Birdhill, North Tipperary",55609
2831,"072 Breaghwy, Co. Mayo",55583
2529,"057 Liscananaun, Co. Galway",55538
1369,"110 Cloontra, Co. Clare",55528
3069,"048 Drumcliff West, Co. Sligo",55495
932,"069 Gorteen, Co. Offaly",55450
3169,"070 Larah North, Co. Cavan",55435
1689,"204 Clonmoyle, Co. Cork",55432
799,"027 Cruicetown, Co. Meath",55392
1167,"112 Kilpatrick, Co. Wexford",55372
534,"069 Danesfort, Co. Kilkenny",55355
2377,"018 St. Mary's, Co. Waterford",55333
510,"045 Dunbell, Co. Kilkenny",55326
2308,"163 Drumwood, South Tipperary",55323
1620,"135 Gortroe, Co. Cork",55322
2043,"031 Cahercorney, Co. Limerick",55258
3148,"049 Clonervy, Co. Cavan",55250
3068,"047 Drumcliff East, Co. Sligo",55239
2029,"017 Grange, Co. Limerick",55217
1048,"099 Russellstown, Co. Westmeath",55212
637,"060 Kilmullen, Co. Laois",55196
243,"027 Saggart, South Dublin",55179
1545,"060 Clonakilty Rural, Co. Cork",55168
987,"037 Bracklin, Co. Westmeath",55162
1552,"067 Kilmoylerane, Co. Cork",55153
662,"085 Moneenalassa, Co. Laois",55136
1766,"281 Kilgullane, Co. Cork",55132
805,"033 Martry, Co. Meath",55123
290,"025 Kilsallaghan, Fingal",55115
2199,"053 Borrisnoe, North Tipperary",55106
1214,"035 Kilmacanoge (Part Urban), Co. Wicklow",55077
1955,"147 Doon, Co. Kerry",55055
2584,"112 Graigabbey, Co. Galway",55050
2415,"056 Ballynamult, Co. Waterford",55023
2604,"133 Tiaquin, Co. Galway",55019
2675,"204 Killererin, Co. Galway",55019
923,"060 Ballyshear, Co. Offaly",55017
2045,"033 Darragh, Co. Limerick",55001
269,"004 Baldoyle, Fingal",54984
1951,"143 Clogherbrien, Co. Kerry",54978
250,"034 Tallaght-Kilnamanagh, South Dublin",54969
526,"061 Aghaviller, Co. Kilkenny",54938
2186,"039 Kilkeary, North Tipperary",54917
2020,"008 Ballynoe, Co. Limerick",54904
3072,"051 Glencar, Co. Sligo",54896
828,"056 Painestown, Co. Meath",54868
1895,"087 Lahard, Co. Kerry",54864
1238,"059 Moneystown, Co. Wicklow",54852
298,"033 Rush, Fingal",54842
831,"059 Stackallan, Co. Meath",54839
1034,"084 Knockdrin, Co. Westmeath",54832
1216,"037 Altidore, Co. Wicklow",54831
2594,"122 Kilteskill, Co. Galway",54820
3178,"079 Tullyvin West, Co. Cavan",54794
1195,"016 Hartstown, Co. Wicklow",54777
746,"017 Stabannan, Co. Louth",54769
2066,"054 Caherconlish East, Co. Limerick",54769
1376,"117 Lackareagh, Co. Clare",54762
350,"043 Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown",54756
561,"096 Rathbeagh, Co. Kilkenny",54754
1898,"090 Muckross (Part Urban), Co. Kerry",54737
197,"143 Rathmines West F, Dublin City",54702
1009,"059 Carrick, Co. Westmeath",54699
903,"040 Croghan, Co. Offaly",54698
